,drug,disease,label
0,475.0,43.0,1.0
1,255.0,174.0,1.0
2,63.0,134.0,1.0
3,110.0,41.0,1.0
4,395.0,359.0,1.0
5,358.0,184.0,1.0
6,396.0,405.0,1.0
7,85.0,41.0,1.0
8,247.0,99.0,1.0
9,3.0,42.0,1.0
10,131.0,163.0,1.0
11,523.0,146.0,1.0
12,376.0,40.0,1.0
13,171.0,316.0,1.0
14,333.0,99.0,1.0
15,346.0,347.0,1.0
16,612.0,321.0,1.0
17,213.0,277.0,1.0
18,402.0,196.0,1.0
19,354.0,128.0,1.0
20,468.0,114.0,1.0
21,521.0,362.0,1.0
22,551.0,344.0,1.0
23,533.0,40.0,1.0
24,150.0,322.0,1.0
25,401.0,132.0,1.0
26,23.0,80.0,1.0
27,262.0,298.0,1.0
28,141.0,405.0,1.0
29,311.0,7.0,1.0
30,413.0,313.0,1.0
31,500.0,249.0,1.0
32,600.0,88.0,1.0
33,312.0,99.0,1.0
34,395.0,362.0,1.0
35,49.0,210.0,1.0
36,516.0,83.0,1.0
37,578.0,183.0,1.0
38,205.0,390.0,1.0
39,658.0,359.0,1.0
40,180.0,279.0,1.0
41,31.0,243.0,1.0
42,293.0,362.0,1.0
43,343.0,371.0,1.0
44,509.0,303.0,1.0
45,383.0,359.0,1.0
46,455.0,369.0,1.0
47,430.0,328.0,1.0
48,624.0,316.0,1.0
49,36.0,392.0,1.0
50,109.0,392.0,1.0
51,635.0,149.0,1.0
52,104.0,81.0,1.0
53,42.0,28.0,1.0
54,245.0,405.0,1.0
55,363.0,308.0,1.0
56,583.0,24.0,1.0
57,608.0,392.0,1.0
58,39.0,372.0,1.0
59,278.0,221.0,1.0
60,257.0,199.0,1.0
61,456.0,24.0,1.0
62,453.0,19.0,1.0
63,303.0,5.0,1.0
64,136.0,124.0,1.0
65,242.0,127.0,1.0
66,173.0,131.0,1.0
67,461.0,99.0,1.0
68,359.0,8.0,1.0
69,588.0,312.0,1.0
70,571.0,144.0,1.0
71,498.0,187.0,1.0
72,0.0,48.0,1.0
73,162.0,318.0,1.0
74,141.0,88.0,1.0
75,572.0,124.0,1.0
76,326.0,149.0,1.0
77,41.0,269.0,1.0
78,116.0,298.0,1.0
79,301.0,328.0,1.0
80,358.0,53.0,1.0
81,339.0,36.0,1.0
82,140.0,300.0,1.0
83,301.0,308.0,1.0
84,275.0,316.0,1.0
85,453.0,224.0,1.0
86,275.0,245.0,1.0
87,237.0,73.0,1.0
88,205.0,364.0,1.0
89,461.0,385.0,1.0
90,442.0,405.0,1.0
91,213.0,224.0,1.0
92,461.0,1.0,1.0
93,286.0,99.0,1.0
94,5.0,128.0,1.0
95,183.0,146.0,1.0
96,578.0,322.0,1.0
97,464.0,39.0,1.0
98,304.0,124.0,1.0
99,401.0,341.0,1.0
100,401.0,130.0,1.0
101,199.0,237.0,1.0
102,50.0,381.0,1.0
103,498.0,395.0,1.0
104,617.0,134.0,1.0
105,14.0,130.0,1.0
106,624.0,48.0,1.0
107,406.0,99.0,1.0
108,122.0,405.0,1.0
109,486.0,342.0,1.0
110,105.0,344.0,1.0
111,138.0,390.0,1.0
112,87.0,306.0,1.0
113,588.0,390.0,1.0
114,55.0,401.0,1.0
115,637.0,245.0,1.0
116,69.0,27.0,1.0
117,1.0,171.0,1.0
118,254.0,135.0,1.0
119,285.0,322.0,1.0
120,430.0,335.0,1.0
121,170.0,200.0,1.0
122,260.0,21.0,1.0
123,66.0,199.0,1.0
124,268.0,183.0,1.0
125,431.0,24.0,1.0
126,128.0,275.0,1.0
127,407.0,251.0,1.0
128,113.0,294.0,1.0
129,651.0,359.0,1.0
130,658.0,362.0,1.0
131,493.0,375.0,1.0
132,80.0,279.0,1.0
133,19.0,342.0,1.0
134,190.0,128.0,1.0
135,175.0,362.0,1.0
136,440.0,405.0,1.0
137,22.0,3.0,1.0
138,591.0,269.0,1.0
139,136.0,68.0,1.0
